AppID,Name,Release date,Peak CCU,Price,Positive,Negative,Average playtime forever
843390,Vertigo 2,2023-03-30,224,29.99,250,4,0
1196090,Scars Above,2023-02-28,220,33.99,172,51,0
1619570,Death Roads: Tournament,2023-03-28,210,13.49,113,28,0
2067780,Your Turn To Die -Death Game By Majority-,2023-02-20,205,15.29,348,2,0
2106840,PARANORMASIGHT: The Seven Mysteries of Honjo,2023-03-08,204,15.99,110,4,0
1668290,Dungeons of Aether,2023-02-28,204,13.49,134,36,0
2200780,My Dream Setup,2023-02-20,198,5.39,311,58,11
1922010,Breachers,2023-04-13,195,29.99,378,33,0
2060750,Star Survivor,2023-03-02,194,4.49,78,18,0
2023360,The Last Case of Benedict Fox,2023-04-27,192,19.99,101,28,0
1984790,Drago Noka,2023-01-12,190,19.99,31,10,0
2340740,Future Front(Idle Game),2023-03-27,189,2.69,110,49,0
1998450,Black & White,2023-03-16,188,13.49,183,61,0
2181930,DR LIVESEY ROM AND DEATH EDITION,2023-02-13,188,0.59,2599,102,43
1790370,Rogue AI Simulator,2023-01-11,188,10.79,70,12,495
2290000,TerraScape,2023-04-05,186,9.74,83,9,0
1512590,Punch A Bunch,2023-01-20,185,11.99,167,34,0
1863290,SpunkStock: Music Festival,2023-01-26,182,13.49,0,0,0
1985960,Ogu and the Secret Forest,2023-03-23,171,16.19,50,3,0
1402120,9 Years of Shadows,2023-03-27,169,19.99,369,75,36
1546710,Vernal Edge,2023-03-14,164,15.29,184,22,0
1539160,Horny Warp: Hentai Fantasy,2023-02-17,162,5.59,0,0,0
2251620,Sunrider 4: The Captain's Return,2023-02-08,154,26.99,18,3,0
1074190,Dragon Spirits,2023-04-25,150,7.99,81,18,0
2272050,Fairy Biography3 : Obsession,2023-03-24,144,4.75,135,9,0
1714250,Pets Hotel,2023-04-17,139,15.29,62,3,0
1896390,Stickman Trenches,2023-03-01,132,4.97,123,33,0
1920490,The Outer Worlds: Spacer's Choice Edition,2023-03-07,130,47.99,76,243,0
1641240,Hero's Quest,2023-03-16,128,2.99,45,4,0
2351730,Idle Simple RPG,2023-03-29,127,3.99,22,4,0
1016360,PERISH,2023-02-02,126,17.99,144,71,0
1035760,Glimmer in Mirror,2023-01-09,125,15.29,334,66,62
2113900,Touge Shakai,2023-01-07,125,14.99,33,14,0
2206150,Hot And Lovely ：Charm,2023-02-16,123,2.99,296,40,0
1687250,ARIA: Genesis,2023-02-10,122,13.49,0,0,0
1318740,Farlanders,2023-01-17,121,13.49,120,9,0
1333560,Timestamps: Unconditional Love,2023-01-06,121,14.99,0,0,0
1494810,Mortal Sin,2023-03-15,120,15.99,164,5,0
1579880,The Light Brigade,2023-02-22,119,24.99,163,8,0
1342090,PRIMITIVE HEARTS,2023-02-17,118,13.49,16,10,0
2096510,The Ouroboros King,2023-02-27,116,8.99,46,11,91
1910790,Lunar Mirror,2023-01-19,116,8.99,0,0,0
1608640,OTXO,2023-04-20,114,13.49,203,13,221
1430680,Clash: Artifacts of Chaos,2023-03-09,113,29.99,99,7,0
2270600,Open At Nine,2023-04-12,111,9.99,0,0,251
1042600,Demon Queen Melissa,2023-01-20,110,17.99,15,7,0
1485690,Potion Tycoon,2023-03-13,109,17.99,73,37,16
1413660,Elderand,2023-02-16,108,16.99,55,13,0
1475840,Rhythm Sprout: Sick Beats & Bad Sweets,2023-02-01,107,13.49,167,8,0
506480,Archmage Rises,2023-04-24,105,25.49,86,19,0
2107860,Yggdra Union,2023-02-06,104,19.99,48,5,0
1098610,Crush the Industry,2023-03-30,103,9.89,47,1,0
957960,Inkulinati,2023-01-31,101,22.49,67,11,0
